date,weight
02-01-2020,6044
02-02-2020,5794
02-03-2020,5114
02-04-2020,4671
02-05-2020,5203
02-06-2020,7099
02-07-2020,7907
02-08-2020,4952
02-09-2020,7656
02-10-2020,7668
02-11-2020,6719
02-12-2020,5754
02-13-2020,6067
02-14-2020,5406
02-15-2020,6497
02-16-2020,5620
02-17-2020,6726
02-18-2020,5101
02-19-2020,7401
02-20-2020,5744
02-21-2020,5526
02-22-2020,7237
02-23-2020,5154
02-24-2020,7387
02-25-2020,6006
02-26-2020,6291
02-27-2020,5428
02-28-2020,5708
02-29-2020,7732
03-01-2020,4731
03-02-2020,7155
03-03-2020,4650
03-04-2020,5261
03-05-2020,6792
03-06-2020,5816
03-07-2020,5908
03-08-2020,6699
03-09-2020,7323
03-10-2020,4726
03-11-2020,5540
03-12-2020,4715
03-13-2020,7533
03-14-2020,7523
03-15-2020,7675
03-16-2020,5451
03-17-2020,6589
03-18-2020,6963
03-19-2020,7034
03-20-2020,7488
03-21-2020,5318
03-22-2020,4886
03-23-2020,6739
03-24-2020,7546
03-25-2020,4696
03-26-2020,7857
03-27-2020,7128
03-28-2020,4604
03-29-2020,6843
03-30-2020,4627
03-31-2020,6508
04-01-2020,4725
04-02-2020,7003
04-03-2020,6758
04-04-2020,5116
04-05-2020,6145
04-06-2020,7108
04-07-2020,5765
04-08-2020,4730
04-09-2020,4674
04-10-2020,5881
04-11-2020,4798
04-12-2020,6187
04-13-2020,7902
04-14-2020,5285
04-15-2020,5736
04-16-2020,7083
04-17-2020,6317
04-18-2020,5977
04-19-2020,6142
04-20-2020,5993
04-21-2020,4612
04-22-2020,7038
04-23-2020,6351
04-24-2020,6848
04-25-2020,6566
04-26-2020,4768
04-27-2020,6500
04-28-2020,5213
04-29-2020,6510
04-30-2020,4771
05-01-2020,7483
05-02-2020,6437
05-03-2020,5069
05-04-2020,5758
05-05-2020,6175
05-06-2020,7650
05-07-2020,7439
05-08-2020,5973
05-09-2020,6921
05-10-2020,5623
05-11-2020,5379
05-12-2020,5903
05-13-2020,6042
05-14-2020,7827
05-15-2020,6265
05-16-2020,5932
05-17-2020,6646
05-18-2020,5899
05-19-2020,5555
05-20-2020,6486
05-21-2020,6162
05-22-2020,7505
05-23-2020,6020
05-24-2020,5595
05-25-2020,7682
05-26-2020,6536
05-27-2020,5258
05-28-2020,7121
05-29-2020,5471
05-30-2020,6342
05-31-2020,5420
06-01-2020,4636
06-02-2020,7408
06-03-2020,7040
06-04-2020,6414
06-05-2020,6004
06-06-2020,6013
06-07-2020,6494
06-08-2020,5282
06-09-2020,5609
06-10-2020,5862
06-11-2020,7508
06-12-2020,6469
06-13-2020,5634
06-14-2020,5501
06-15-2020,6936
06-16-2020,7267
06-17-2020,7803
06-18-2020,6885
06-19-2020,6456
06-20-2020,7778
06-21-2020,6049
06-22-2020,5082
06-23-2020,5498
06-24-2020,7385
06-25-2020,4667
06-26-2020,6490
06-27-2020,6478
