date,weight
02-01-2020,7244
02-02-2020,7240
02-03-2020,8164
02-04-2020,6040
02-05-2020,7737
02-06-2020,7101
02-07-2020,7072
02-08-2020,7645
02-09-2020,6989
02-10-2020,6785
02-11-2020,9176
02-12-2020,6418
02-13-2020,6603
02-14-2020,6949
02-15-2020,6634
02-16-2020,7211
02-17-2020,6133
02-18-2020,9039
02-19-2020,7851
02-20-2020,6149
02-21-2020,6507
02-22-2020,6441
02-23-2020,9079
02-24-2020,9191
02-25-2020,7730
02-26-2020,5820
02-27-2020,6706
02-28-2020,7184
02-29-2020,7530
03-01-2020,8537
03-02-2020,9173
03-03-2020,6738
03-04-2020,8760
03-05-2020,5740
03-06-2020,8323
03-07-2020,6409
03-08-2020,7997
03-09-2020,7693
03-10-2020,8203
03-11-2020,7956
03-12-2020,9134
03-13-2020,6730
03-14-2020,7334
03-15-2020,8661
03-16-2020,8943
03-17-2020,8067
03-18-2020,8470
03-19-2020,7074
03-20-2020,8580
03-21-2020,8239
03-22-2020,7611
03-23-2020,8332
03-24-2020,8898
03-25-2020,8157
03-26-2020,8722
03-27-2020,7659
03-28-2020,9216
03-29-2020,8484
03-30-2020,8391
03-31-2020,8110
04-01-2020,7984
04-02-2020,8505
04-03-2020,6794
04-04-2020,8311
04-05-2020,5803
04-06-2020,9036
04-07-2020,8388
04-08-2020,9004
04-09-2020,5688
04-10-2020,8366
04-11-2020,8660
04-12-2020,7724
04-13-2020,5827
04-14-2020,8278
04-15-2020,9109
04-16-2020,5964
04-17-2020,5944
04-18-2020,8310
04-19-2020,7095
04-20-2020,7459
04-21-2020,6714
04-22-2020,7539
04-23-2020,7270
04-24-2020,6217
04-25-2020,8830
04-26-2020,6341
04-27-2020,7308
04-28-2020,8005
04-29-2020,7884
04-30-2020,8642
05-01-2020,5747
05-02-2020,6947
05-03-2020,5825
05-04-2020,8856
05-05-2020,6183
05-06-2020,7472
05-07-2020,7905
05-08-2020,7636
05-09-2020,6429
05-10-2020,8766
05-11-2020,6325
05-12-2020,9187
05-13-2020,7859
05-14-2020,6687
05-15-2020,7694
05-16-2020,9162
05-17-2020,8031
05-18-2020,8590
05-19-2020,7803
05-20-2020,8055
05-21-2020,6569
05-22-2020,7996
05-23-2020,7405
05-24-2020,6288
05-25-2020,5663
05-26-2020,6605
05-27-2020,6004
05-28-2020,7292
05-29-2020,8091
05-30-2020,7796
05-31-2020,7103
06-01-2020,7790
06-02-2020,6987
06-03-2020,8235
06-04-2020,5671
06-05-2020,6929
06-06-2020,5842
06-07-2020,7574
06-08-2020,8657
06-09-2020,6414
06-10-2020,8118
06-11-2020,7100
06-12-2020,6619
06-13-2020,8871
06-14-2020,5727
06-15-2020,5748
06-16-2020,7643
06-17-2020,6377
06-18-2020,6316
06-19-2020,6075
06-20-2020,7205
06-21-2020,6968
06-22-2020,8436
06-23-2020,6018
06-24-2020,5762
06-25-2020,8812
06-26-2020,8892
06-27-2020,8567
06-28-2020,7039
06-29-2020,6495
06-30-2020,6661
07-01-2020,7229
07-02-2020,6260
07-03-2020,8417
07-04-2020,8992
07-05-2020,6161
07-06-2020,7350
07-07-2020,5761
07-08-2020,6059
07-09-2020,7288
07-10-2020,6749
07-11-2020,8638
07-12-2020,8930
07-13-2020,6533
07-14-2020,8560
07-15-2020,8116
07-16-2020,8629
07-17-2020,7202
07-18-2020,9195
07-19-2020,5978
07-20-2020,8783
07-21-2020,9204
07-22-2020,8014
07-23-2020,7763
07-24-2020,7430
07-25-2020,7376
07-26-2020,7635
07-27-2020,8493
07-28-2020,6049
07-29-2020,7816
07-30-2020,8192
07-31-2020,5752
08-01-2020,7743
08-02-2020,8849
08-03-2020,8725
08-04-2020,8281
08-05-2020,7620
08-06-2020,8594
08-07-2020,6033
08-08-2020,8280
08-09-2020,8251
08-10-2020,7742
08-11-2020,8070
08-12-2020,7049
08-13-2020,8993
08-14-2020,6896
08-15-2020,6926
08-16-2020,6852
08-17-2020,6833
08-18-2020,7428
08-19-2020,8453
08-20-2020,7012
08-21-2020,7861
08-22-2020,7769
08-23-2020,7585
08-24-2020,6504
08-25-2020,5819
08-26-2020,8290
08-27-2020,5911
08-28-2020,7942
08-29-2020,7260
08-30-2020,8955
08-31-2020,7855
09-01-2020,9095
09-02-2020,8313
09-03-2020,8914
09-04-2020,9192
09-05-2020,5868
09-06-2020,5938
09-07-2020,6720
09-08-2020,8021
09-09-2020,5668
09-10-2020,6726
09-11-2020,8411
09-12-2020,6417
09-13-2020,8570
09-14-2020,7938
09-15-2020,6992
09-16-2020,5784
09-17-2020,9067
09-18-2020,6190
09-19-2020,9090
09-20-2020,8895
09-21-2020,6017
09-22-2020,5725
09-23-2020,7221
09-24-2020,9200
09-25-2020,5793
09-26-2020,7273
09-27-2020,6807
09-28-2020,7372
09-29-2020,8733
09-30-2020,8468
10-01-2020,7371
10-02-2020,7906
10-03-2020,8970
10-04-2020,8185
10-05-2020,6999
10-06-2020,7381
10-07-2020,6386
10-08-2020,7899
10-09-2020,8533
10-10-2020,7840
10-11-2020,8007
10-12-2020,8151
10-13-2020,6644
10-14-2020,6051
10-15-2020,8173
10-16-2020,6859
10-17-2020,8679
10-18-2020,9029
10-19-2020,6648
10-20-2020,7930
10-21-2020,7373
10-22-2020,7695
10-23-2020,6870
10-24-2020,7456
10-25-2020,7483
10-26-2020,6343
10-27-2020,9097
10-28-2020,7871
10-29-2020,8320
10-30-2020,8924
10-31-2020,6809
11-01-2020,6078
11-02-2020,7466
11-03-2020,6369
11-04-2020,6493
11-05-2020,5877
11-06-2020,8455
11-07-2020,5947
11-08-2020,8650
11-09-2020,7915
11-10-2020,7830
11-11-2020,6083
11-12-2020,6874
11-13-2020,7145
11-14-2020,8399
11-15-2020,9000
11-16-2020,8600
11-17-2020,7975
11-18-2020,7688
11-19-2020,6618
11-20-2020,6243
11-21-2020,8146
