date,weight
02-01-2020,7673
02-02-2020,7599
02-03-2020,6727
02-04-2020,5044
02-05-2020,5172
02-06-2020,5402
02-07-2020,5275
02-08-2020,6576
02-09-2020,6234
02-10-2020,6538
02-11-2020,4992
02-12-2020,6602
02-13-2020,7766
02-14-2020,7558
02-15-2020,7358
02-16-2020,6418
02-17-2020,6211
02-18-2020,5779
02-19-2020,6164
02-20-2020,4164
02-21-2020,5961
02-22-2020,6077
02-23-2020,4482
02-24-2020,5259
02-25-2020,7272
02-26-2020,4005
02-27-2020,6924
02-28-2020,5018
02-29-2020,6381
03-01-2020,4189
03-02-2020,6098
03-03-2020,6407
03-04-2020,5407
03-05-2020,5081
03-06-2020,5792
03-07-2020,7072
03-08-2020,7527
03-09-2020,6539
03-10-2020,5453
03-11-2020,6760
03-12-2020,7672
03-13-2020,6279
03-14-2020,5122
03-15-2020,5586
03-16-2020,7722
03-17-2020,6507
03-18-2020,4956
03-19-2020,5820
03-20-2020,5748
03-21-2020,6790
03-22-2020,4839
03-23-2020,6619
03-24-2020,5726
03-25-2020,7131
03-26-2020,5987
03-27-2020,4965
03-28-2020,6201
03-29-2020,6403
03-30-2020,7782
03-31-2020,7136
04-01-2020,6867
04-02-2020,5844
04-03-2020,4553
04-04-2020,5721
04-05-2020,6772
04-06-2020,4740
04-07-2020,6477
04-08-2020,5907
04-09-2020,5336
04-10-2020,5146
04-11-2020,7694
04-12-2020,6303
04-13-2020,7405
04-14-2020,6497
04-15-2020,4674
04-16-2020,5013
04-17-2020,5626
04-18-2020,6147
04-19-2020,7110
04-20-2020,6701
04-21-2020,4643
04-22-2020,7664
04-23-2020,6100
04-24-2020,4443
04-25-2020,6591
04-26-2020,7519
04-27-2020,4954
04-28-2020,7180
04-29-2020,6223
04-30-2020,7182
05-01-2020,4241
05-02-2020,6400
05-03-2020,6690
05-04-2020,7499
05-05-2020,5993
05-06-2020,4074
05-07-2020,7286
05-08-2020,7034
05-09-2020,7628
05-10-2020,6758
05-11-2020,7739
05-12-2020,7588
05-13-2020,5395
05-14-2020,5624
05-15-2020,4929
05-16-2020,4542
05-17-2020,4842
05-18-2020,7028
05-19-2020,7324
05-20-2020,6707
05-21-2020,5186
05-22-2020,7193
05-23-2020,7817
05-24-2020,4936
05-25-2020,6456
05-26-2020,5291
05-27-2020,6136
05-28-2020,5313
05-29-2020,4360
05-30-2020,4506
05-31-2020,7647
06-01-2020,4641
06-02-2020,4707
06-03-2020,6163
06-04-2020,4270
06-05-2020,4338
06-06-2020,6570
06-07-2020,5047
06-08-2020,7342
06-09-2020,5686
06-10-2020,5814
06-11-2020,5222
06-12-2020,5786
06-13-2020,5126
06-14-2020,5623
06-15-2020,6855
06-16-2020,6431
06-17-2020,5888
06-18-2020,4274
06-19-2020,4625
06-20-2020,6345
06-21-2020,4292
06-22-2020,7312
06-23-2020,6255
06-24-2020,4743
06-25-2020,5836
06-26-2020,4900
06-27-2020,5024
06-28-2020,4526
06-29-2020,4316
06-30-2020,6526
07-01-2020,7803
07-02-2020,6036
07-03-2020,4510
07-04-2020,7760
07-05-2020,4369
