date,weight
02-01-2020,1665
02-02-2020,1889
02-03-2020,2051
02-04-2020,1687
02-05-2020,1354
02-06-2020,1896
02-07-2020,1568
02-08-2020,1468
02-09-2020,2012
02-10-2020,1898
02-11-2020,1658
02-12-2020,1795
02-13-2020,1659
02-14-2020,1563
02-15-2020,2149
02-16-2020,1687
02-17-2020,1796
02-18-2020,2103
02-19-2020,1997
02-20-2020,1453
02-21-2020,2245
02-22-2020,1869
02-23-2020,1445
02-24-2020,1432
02-25-2020,2328
02-26-2020,1641
02-27-2020,1997
02-28-2020,1503
02-29-2020,2488
03-01-2020,1515
03-02-2020,2545
03-03-2020,2088
03-04-2020,2432
03-05-2020,1501
03-06-2020,1443
03-07-2020,2457
03-08-2020,1599
03-09-2020,2292
03-10-2020,1832
03-11-2020,1982
03-12-2020,2038
03-13-2020,2352
03-14-2020,1656
03-15-2020,2410
03-16-2020,1650
03-17-2020,1554
03-18-2020,1529
03-19-2020,1693
03-20-2020,1601
03-21-2020,2019
03-22-2020,2243
03-23-2020,1647
03-24-2020,2195
03-25-2020,2518
03-26-2020,1750
03-27-2020,1518
03-28-2020,2382
03-29-2020,1878
03-30-2020,2489
03-31-2020,1652
04-01-2020,2551
04-02-2020,1766
04-03-2020,1431
04-04-2020,1936
04-05-2020,1497
04-06-2020,1934
04-07-2020,2098
04-08-2020,2413
04-09-2020,1795
04-10-2020,1610
04-11-2020,1758
04-12-2020,1703
04-13-2020,2552
04-14-2020,2166
04-15-2020,1953
04-16-2020,2493
04-17-2020,2085
04-18-2020,1480
04-19-2020,2270
04-20-2020,1513
04-21-2020,2242
04-22-2020,1976
04-23-2020,2437
04-24-2020,2594
04-25-2020,2544
04-26-2020,1895
04-27-2020,1684
04-28-2020,2487
04-29-2020,1720
04-30-2020,1613
05-01-2020,2411
05-02-2020,1512
05-03-2020,2218
05-04-2020,2052
05-05-2020,1688
05-06-2020,2069
05-07-2020,1903
05-08-2020,1686
05-09-2020,1421
05-10-2020,2330
05-11-2020,1531
05-12-2020,1482
05-13-2020,1499
05-14-2020,1519
05-15-2020,1678
05-16-2020,1896
05-17-2020,1487
05-18-2020,2460
05-19-2020,1924
05-20-2020,2226
05-21-2020,1636
05-22-2020,1805
05-23-2020,1534
05-24-2020,2168
05-25-2020,2348
05-26-2020,2284
05-27-2020,1606
05-28-2020,2389
05-29-2020,2001
05-30-2020,2253
05-31-2020,2444
06-01-2020,1729
06-02-2020,1725
06-03-2020,2122
06-04-2020,1906
06-05-2020,2366
06-06-2020,2344
06-07-2020,2333
06-08-2020,1881
06-09-2020,1438
06-10-2020,1811
06-11-2020,1860
06-12-2020,1845
06-13-2020,2459
06-14-2020,2423
06-15-2020,1799
06-16-2020,1687
06-17-2020,1614
06-18-2020,2278
06-19-2020,1857
06-20-2020,2468
06-21-2020,1551
06-22-2020,1939
06-23-2020,2377
06-24-2020,1493
06-25-2020,2321
06-26-2020,2061
06-27-2020,2579
06-28-2020,1968
06-29-2020,1538
06-30-2020,1917
07-01-2020,2547
07-02-2020,2060
07-03-2020,1995
07-04-2020,1596
07-05-2020,1607
07-06-2020,1757
07-07-2020,2458
07-08-2020,1646
07-09-2020,1648
07-10-2020,1735
07-11-2020,2194
07-12-2020,2140
07-13-2020,1625
07-14-2020,2115
07-15-2020,1658
07-16-2020,2144
07-17-2020,2124
07-18-2020,2370
07-19-2020,2319
07-20-2020,2317
07-21-2020,1950
07-22-2020,1618
07-23-2020,2018
07-24-2020,1854
07-25-2020,2530
07-26-2020,1511
07-27-2020,1938
07-28-2020,2215
07-29-2020,2412
07-30-2020,2045
07-31-2020,2595
08-01-2020,2334
08-02-2020,1559
08-03-2020,2244
08-04-2020,2449
08-05-2020,1826
08-06-2020,2167
08-07-2020,1550
08-08-2020,1767
08-09-2020,1566
08-10-2020,1921
08-11-2020,1489
08-12-2020,2349
08-13-2020,2093
08-14-2020,2017
08-15-2020,2408
08-16-2020,2378
08-17-2020,2430
08-18-2020,1594
08-19-2020,2564
08-20-2020,1569
08-21-2020,1622
08-22-2020,2106
08-23-2020,1978
08-24-2020,1809
08-25-2020,1817
08-26-2020,2556
08-27-2020,2336
08-28-2020,2402
08-29-2020,2114
08-30-2020,2047
08-31-2020,2596
09-01-2020,2522
09-02-2020,1975
09-03-2020,2456
09-04-2020,1673
09-05-2020,2508
09-06-2020,2502
09-07-2020,2560
09-08-2020,1712
09-09-2020,1747
09-10-2020,1935
09-11-2020,2170
09-12-2020,2447
09-13-2020,2041
09-14-2020,1943
09-15-2020,1664
09-16-2020,1662
09-17-2020,1560
09-18-2020,2097
09-19-2020,1701
09-20-2020,1963
09-21-2020,2373
09-22-2020,1890
09-23-2020,2482
09-24-2020,1777
09-25-2020,1570
09-26-2020,2145
09-27-2020,1525
09-28-2020,2340
09-29-2020,2375
09-30-2020,2406
10-01-2020,2388
10-02-2020,1430
10-03-2020,1408
10-04-2020,1964
10-05-2020,1452
10-06-2020,1785
10-07-2020,1436
10-08-2020,2473
10-09-2020,1988
10-10-2020,1818
10-11-2020,2022
10-12-2020,2303
10-13-2020,1730
10-14-2020,1615
10-15-2020,2368
10-16-2020,1928
10-17-2020,2207
10-18-2020,1481
10-19-2020,1409
10-20-2020,2562
10-21-2020,1830
10-22-2020,1542
10-23-2020,2559
10-24-2020,2576
10-25-2020,2298
10-26-2020,1598
10-27-2020,2538
10-28-2020,2475
10-29-2020,2438
10-30-2020,2435
10-31-2020,1466
11-01-2020,1862
11-02-2020,2101
11-03-2020,1876
11-04-2020,1706
11-05-2020,1979
11-06-2020,2187
11-07-2020,2360
11-08-2020,1851
11-09-2020,2181
11-10-2020,1996
11-11-2020,1844
11-12-2020,2227
11-13-2020,2104
11-14-2020,2297
11-15-2020,1713
11-16-2020,1918
11-17-2020,2365
11-18-2020,2210
11-19-2020,1723
11-20-2020,2419
11-21-2020,1889
11-22-2020,1887
11-23-2020,1960
11-24-2020,2316
11-25-2020,2463
11-26-2020,2535
11-27-2020,2203
11-28-2020,1911
11-29-2020,2258
11-30-2020,1790
12-01-2020,2524
12-02-2020,1530
12-03-2020,1835
12-04-2020,1972
12-05-2020,2400
12-06-2020,2525
12-07-2020,1665
12-08-2020,2474
12-09-2020,2371
12-10-2020,1459
12-11-2020,1959
12-12-2020,2355
12-13-2020,2296
12-14-2020,1841
12-15-2020,2453
12-16-2020,2137
12-17-2020,2080
12-18-2020,2129
12-19-2020,2023
12-20-2020,2528
12-21-2020,1974
12-22-2020,2211
12-23-2020,1828
12-24-2020,2164
12-25-2020,1886
12-26-2020,1479
12-27-2020,1902
