date,weight
02-01-2020,3071
02-02-2020,4479
02-03-2020,3157
02-04-2020,4676
02-05-2020,4006
02-06-2020,5188
02-07-2020,3649
02-08-2020,4603
02-09-2020,4348
02-10-2020,3877
02-11-2020,4324
02-12-2020,2979
02-13-2020,3712
02-14-2020,3775
02-15-2020,4688
02-16-2020,4227
02-17-2020,3926
02-18-2020,5056
02-19-2020,4758
02-20-2020,4255
02-21-2020,5248
02-22-2020,3266
02-23-2020,4049
02-24-2020,3504
02-25-2020,4781
02-26-2020,3985
02-27-2020,3943
02-28-2020,3467
02-29-2020,3086
03-01-2020,3029
03-02-2020,3959
03-03-2020,3011
03-04-2020,3312
03-05-2020,4687
03-06-2020,3186
03-07-2020,4589
03-08-2020,3322
03-09-2020,4858
03-10-2020,3219
03-11-2020,4017
03-12-2020,2961
03-13-2020,3037
03-14-2020,3083
03-15-2020,4242
03-16-2020,5007
03-17-2020,3406
03-18-2020,3116
03-19-2020,3874
03-20-2020,4372
03-21-2020,4651
03-22-2020,4871
03-23-2020,3890
03-24-2020,5107
03-25-2020,4562
03-26-2020,4832
03-27-2020,4881
03-28-2020,2999
03-29-2020,4139
03-30-2020,4869
03-31-2020,4360
04-01-2020,3667
04-02-2020,5260
04-03-2020,4364
04-04-2020,3785
04-05-2020,5183
04-06-2020,3285
04-07-2020,4408
04-08-2020,4367
04-09-2020,4107
04-10-2020,4068
04-11-2020,5050
04-12-2020,4611
04-13-2020,3303
04-14-2020,4627
04-15-2020,3009
04-16-2020,4224
04-17-2020,3443
04-18-2020,4096
04-19-2020,3082
04-20-2020,2947
04-21-2020,4243
04-22-2020,4270
04-23-2020,3575
04-24-2020,3149
04-25-2020,3672
04-26-2020,3518
04-27-2020,2912
04-28-2020,2924
04-29-2020,4698
04-30-2020,3391
05-01-2020,4793
05-02-2020,5090
05-03-2020,4421
05-04-2020,4114
05-05-2020,3289
05-06-2020,4206
05-07-2020,3791
05-08-2020,3763
05-09-2020,4109
05-10-2020,3288
05-11-2020,4441
05-12-2020,4417
05-13-2020,4130
05-14-2020,4234
