date,weight
02-01-2020,3398
02-02-2020,2656
02-03-2020,2973
02-04-2020,2265
02-05-2020,2783
02-06-2020,2817
02-07-2020,2939
02-08-2020,1951
02-09-2020,1963
02-10-2020,2191
02-11-2020,3025
02-12-2020,2287
02-13-2020,2676
02-14-2020,3047
02-15-2020,3477
02-16-2020,2459
02-17-2020,2672
02-18-2020,3100
02-19-2020,2243
02-20-2020,2229
02-21-2020,2412
02-22-2020,2078
02-23-2020,2819
02-24-2020,2986
02-25-2020,1810
02-26-2020,2188
02-27-2020,3407
02-28-2020,2346
02-29-2020,2622
03-01-2020,3453
03-02-2020,2180
03-03-2020,3076
03-04-2020,1898
03-05-2020,2940
03-06-2020,3283
03-07-2020,2810
03-08-2020,2846
03-09-2020,2688
03-10-2020,1972
03-11-2020,2368
03-12-2020,3087
03-13-2020,1851
03-14-2020,2797
03-15-2020,1907
03-16-2020,1979
03-17-2020,1917
03-18-2020,2561
03-19-2020,2726
03-20-2020,3322
03-21-2020,2374
03-22-2020,2543
03-23-2020,2449
03-24-2020,3199
03-25-2020,1803
03-26-2020,3254
03-27-2020,3328
03-28-2020,2827
03-29-2020,2685
03-30-2020,2202
03-31-2020,2474
04-01-2020,3330
04-02-2020,1843
04-03-2020,2766
04-04-2020,3323
04-05-2020,2519
04-06-2020,2772
04-07-2020,2614
04-08-2020,3180
04-09-2020,2087
04-10-2020,2103
04-11-2020,2638
04-12-2020,2036
04-13-2020,2708
04-14-2020,2673
04-15-2020,2286
04-16-2020,2960
04-17-2020,1838
04-18-2020,1939
04-19-2020,3409
04-20-2020,3365
04-21-2020,3413
04-22-2020,3118
04-23-2020,1856
04-24-2020,3469
04-25-2020,3097
04-26-2020,1860
04-27-2020,3190
04-28-2020,2794
04-29-2020,2054
04-30-2020,3373
05-01-2020,3221
05-02-2020,2022
05-03-2020,3417
05-04-2020,2842
05-05-2020,3193
05-06-2020,3227
05-07-2020,3148
05-08-2020,2183
05-09-2020,2355
05-10-2020,2244
05-11-2020,3058
05-12-2020,2105
05-13-2020,2132
05-14-2020,2988
05-15-2020,3125
05-16-2020,2874
05-17-2020,2992
05-18-2020,3176
05-19-2020,1900
05-20-2020,3394
05-21-2020,3500
05-22-2020,3156
05-23-2020,3471
05-24-2020,1877
05-25-2020,3309
05-26-2020,2029
05-27-2020,2584
05-28-2020,2566
05-29-2020,2997
05-30-2020,2253
05-31-2020,3074
06-01-2020,3291
06-02-2020,2781
06-03-2020,3086
06-04-2020,3404
06-05-2020,1894
06-06-2020,2894
06-07-2020,2782
06-08-2020,2632
06-09-2020,2148
06-10-2020,2855
06-11-2020,2009
06-12-2020,2261
06-13-2020,2854
06-14-2020,2710
06-15-2020,2746
06-16-2020,2227
06-17-2020,2712
06-18-2020,2336
06-19-2020,3226
06-20-2020,3301
06-21-2020,1996
06-22-2020,3085
06-23-2020,2471
06-24-2020,2028
06-25-2020,2076
06-26-2020,3299
06-27-2020,3207
06-28-2020,2025
06-29-2020,1857
06-30-2020,1854
07-01-2020,2455
07-02-2020,2309
07-03-2020,3346
07-04-2020,3241
07-05-2020,2961
07-06-2020,2571
07-07-2020,2116
07-08-2020,2704
07-09-2020,2075
07-10-2020,1986
07-11-2020,2482
07-12-2020,2418
07-13-2020,3248
07-14-2020,2993
07-15-2020,3160
07-16-2020,2077
07-17-2020,3182
07-18-2020,3338
07-19-2020,2535
07-20-2020,2385
07-21-2020,2907
07-22-2020,1837
07-23-2020,3195
07-24-2020,2698
07-25-2020,2050
07-26-2020,2815
07-27-2020,2080
07-28-2020,2958
07-29-2020,1990
07-30-2020,2083
07-31-2020,2278
08-01-2020,1870
08-02-2020,2871
08-03-2020,3088
08-04-2020,3467
08-05-2020,2695
08-06-2020,2620
08-07-2020,2790
08-08-2020,2099
08-09-2020,2573
08-10-2020,2576
08-11-2020,3317
08-12-2020,2165
08-13-2020,2071
08-14-2020,3428
08-15-2020,2577
08-16-2020,2070
08-17-2020,2128
08-18-2020,3112
08-19-2020,2319
08-20-2020,1893
08-21-2020,3061
08-22-2020,2062
08-23-2020,2232
08-24-2020,3099
08-25-2020,2658
08-26-2020,2185
08-27-2020,2260
08-28-2020,1960
08-29-2020,2720
08-30-2020,3312
08-31-2020,2293
09-01-2020,3319
09-02-2020,2899
09-03-2020,2843
09-04-2020,2192
09-05-2020,3332
09-06-2020,2366
09-07-2020,3368
09-08-2020,2844
09-09-2020,1957
09-10-2020,3355
09-11-2020,3142
09-12-2020,2140
09-13-2020,2329
09-14-2020,3066
09-15-2020,2965
09-16-2020,2310
09-17-2020,3246
09-18-2020,2288
09-19-2020,2211
09-20-2020,3410
09-21-2020,2097
09-22-2020,1997
09-23-2020,3362
09-24-2020,3234
09-25-2020,2060
09-26-2020,3419
09-27-2020,1809
09-28-2020,2925
09-29-2020,2594
09-30-2020,3157
10-01-2020,3204
10-02-2020,3048
10-03-2020,3237
10-04-2020,2868
10-05-2020,2126
10-06-2020,2094
10-07-2020,2123
10-08-2020,1923
10-09-2020,3379
10-10-2020,2247
10-11-2020,2675
10-12-2020,2526
10-13-2020,3277
10-14-2020,2437
10-15-2020,2920
10-16-2020,2386
10-17-2020,2172
10-18-2020,2354
10-19-2020,2890
10-20-2020,2759
10-21-2020,3222
10-22-2020,2750
10-23-2020,2825
10-24-2020,2642
10-25-2020,2824
10-26-2020,3053
10-27-2020,2115
10-28-2020,2481
10-29-2020,2401
10-30-2020,2703
10-31-2020,3228
11-01-2020,3343
11-02-2020,3063
11-03-2020,3289
11-04-2020,2800
11-05-2020,2019
11-06-2020,2510
11-07-2020,3116
11-08-2020,2428
11-09-2020,2066
11-10-2020,2273
11-11-2020,2415
11-12-2020,2296
11-13-2020,2621
11-14-2020,2816
11-15-2020,3473
11-16-2020,3270
11-17-2020,2457
11-18-2020,1975
11-19-2020,3026
11-20-2020,3376
11-21-2020,2294
11-22-2020,1911
11-23-2020,2538
11-24-2020,3340
11-25-2020,3310
11-26-2020,1954
11-27-2020,2120
11-28-2020,2209
11-29-2020,3037
11-30-2020,2572
12-01-2020,3159
12-02-2020,3057
12-03-2020,1840
12-04-2020,3016
12-05-2020,3349
12-06-2020,3205
12-07-2020,2441
12-08-2020,2254
