date,weight
02-01-2020,8224
02-02-2020,8288
02-03-2020,7071
02-04-2020,8182
02-05-2020,6964
02-06-2020,8077
02-07-2020,6659
02-08-2020,5585
02-09-2020,6251
02-10-2020,7342
02-11-2020,7407
02-12-2020,8269
02-13-2020,5018
02-14-2020,7755
02-15-2020,5764
02-16-2020,7599
02-17-2020,5400
02-18-2020,5576
02-19-2020,5211
02-20-2020,5451
02-21-2020,5898
02-22-2020,6753
02-23-2020,5613
02-24-2020,7522
02-25-2020,6578
02-26-2020,8429
02-27-2020,6506
02-28-2020,7929
02-29-2020,6955
03-01-2020,5217
03-02-2020,5168
03-03-2020,6198
03-04-2020,8174
03-05-2020,8246
03-06-2020,8243
03-07-2020,7843
03-08-2020,6158
03-09-2020,6909
03-10-2020,6683
03-11-2020,6045
03-12-2020,5372
03-13-2020,5969
03-14-2020,5900
03-15-2020,5874
03-16-2020,6004
03-17-2020,5315
03-18-2020,8314
03-19-2020,7271
03-20-2020,5875
03-21-2020,8335
03-22-2020,5723
03-23-2020,7307
03-24-2020,6513
03-25-2020,6392
03-26-2020,5698
03-27-2020,6786
03-28-2020,8071
03-29-2020,8199
03-30-2020,7635
03-31-2020,5302
04-01-2020,8266
04-02-2020,5306
04-03-2020,5263
04-04-2020,5547
04-05-2020,5354
04-06-2020,6483
04-07-2020,6325
04-08-2020,6840
04-09-2020,7539
04-10-2020,8330
04-11-2020,8012
04-12-2020,5293
04-13-2020,6759
04-14-2020,6214
04-15-2020,6947
04-16-2020,5188
04-17-2020,7343
04-18-2020,6402
04-19-2020,7996
04-20-2020,5670
04-21-2020,6781
04-22-2020,8387
04-23-2020,5505
04-24-2020,5856
04-25-2020,8181
04-26-2020,7096
04-27-2020,8486
04-28-2020,8099
04-29-2020,7028
04-30-2020,5305
05-01-2020,7544
05-02-2020,5209
05-03-2020,6718
05-04-2020,5248
05-05-2020,7302
05-06-2020,7661
05-07-2020,8458
05-08-2020,7049
05-09-2020,5397
05-10-2020,7850
05-11-2020,7780
05-12-2020,7829
05-13-2020,6904
05-14-2020,6458
05-15-2020,7266
05-16-2020,7003
05-17-2020,7058
05-18-2020,7877
05-19-2020,7215
05-20-2020,5322
05-21-2020,7511
05-22-2020,6870
05-23-2020,5616
05-24-2020,6520
05-25-2020,5734
05-26-2020,6752
05-27-2020,6226
05-28-2020,6783
05-29-2020,5724
05-30-2020,8363
05-31-2020,6841
06-01-2020,5405
06-02-2020,7457
06-03-2020,7995
06-04-2020,6610
06-05-2020,7758
06-06-2020,6510
06-07-2020,6311
06-08-2020,5304
06-09-2020,8445
06-10-2020,5347
06-11-2020,6487
06-12-2020,8414
06-13-2020,6723
06-14-2020,6224
06-15-2020,6574
06-16-2020,8411
06-17-2020,8228
06-18-2020,6945
06-19-2020,8307
06-20-2020,6496
06-21-2020,5460
06-22-2020,5278
06-23-2020,5000
06-24-2020,5415
06-25-2020,6127
06-26-2020,6327
06-27-2020,5672
06-28-2020,5250
06-29-2020,6289
06-30-2020,7883
07-01-2020,5399
07-02-2020,5140
07-03-2020,5517
07-04-2020,7280
07-05-2020,7823
07-06-2020,7553
07-07-2020,7715
07-08-2020,6682
07-09-2020,7431
07-10-2020,6366
07-11-2020,5119
07-12-2020,5162
07-13-2020,5097
07-14-2020,7066
07-15-2020,7130
07-16-2020,7815
07-17-2020,7657
07-18-2020,5877
07-19-2020,5551
07-20-2020,7433
07-21-2020,6205
07-22-2020,6630
07-23-2020,6192
07-24-2020,5047
07-25-2020,7766
07-26-2020,5863
07-27-2020,6002
07-28-2020,6237
07-29-2020,7094
07-30-2020,7319
07-31-2020,5722
08-01-2020,5276
08-02-2020,7788
08-03-2020,6764
08-04-2020,6577
08-05-2020,6168
08-06-2020,6778
08-07-2020,5072
08-08-2020,7192
08-09-2020,5937
08-10-2020,7983
08-11-2020,6921
08-12-2020,5689
08-13-2020,6790
08-14-2020,8369
08-15-2020,7201
08-16-2020,7738
08-17-2020,7484
08-18-2020,8321
08-19-2020,6680
08-20-2020,5333
08-21-2020,6871
08-22-2020,7383
08-23-2020,8412
08-24-2020,6196
08-25-2020,5027
08-26-2020,6725
08-27-2020,5425
08-28-2020,7913
08-29-2020,5990
08-30-2020,7565
08-31-2020,7278
09-01-2020,6317
09-02-2020,6572
09-03-2020,7161
09-04-2020,7093
09-05-2020,6401
09-06-2020,5943
09-07-2020,5568
09-08-2020,6072
09-09-2020,7977
09-10-2020,8216
09-11-2020,5824
09-12-2020,8344
09-13-2020,6427
09-14-2020,7250
09-15-2020,5563
09-16-2020,7347
09-17-2020,5301
09-18-2020,6490
09-19-2020,7330
09-20-2020,7144
09-21-2020,8281
09-22-2020,5549
09-23-2020,5733
09-24-2020,6082
09-25-2020,7554
09-26-2020,7403
09-27-2020,5873
09-28-2020,7021
09-29-2020,8385
09-30-2020,5204
10-01-2020,7188
10-02-2020,8218
10-03-2020,6600
10-04-2020,5457
10-05-2020,8440
10-06-2020,5421
10-07-2020,7704
10-08-2020,5905
10-09-2020,6466
10-10-2020,5701
10-11-2020,7927
10-12-2020,5923
10-13-2020,8169
10-14-2020,8159
10-15-2020,8166
10-16-2020,6504
10-17-2020,5581
10-18-2020,6293
10-19-2020,8197
10-20-2020,6522
10-21-2020,8460
10-22-2020,6528
10-23-2020,5105
10-24-2020,8195
10-25-2020,5876
10-26-2020,6193
10-27-2020,8232
10-28-2020,7672
10-29-2020,7931
10-30-2020,6655
10-31-2020,5114
11-01-2020,7405
11-02-2020,6785
11-03-2020,6669
11-04-2020,6768
11-05-2020,6958
11-06-2020,7205
11-07-2020,7364
11-08-2020,6696
11-09-2020,8022
11-10-2020,8049
11-11-2020,7705
11-12-2020,6330
11-13-2020,6994
11-14-2020,6350
11-15-2020,6461
11-16-2020,8278
11-17-2020,6796
11-18-2020,7475
11-19-2020,6646
11-20-2020,6417
11-21-2020,5728
11-22-2020,7269
11-23-2020,5282
11-24-2020,8007
11-25-2020,7856
11-26-2020,8359
11-27-2020,7648
11-28-2020,5686
11-29-2020,5645
11-30-2020,7936
12-01-2020,5644
12-02-2020,7979
12-03-2020,8317
12-04-2020,7822
12-05-2020,6889
12-06-2020,6164
12-07-2020,5811
12-08-2020,5137
12-09-2020,7336
12-10-2020,6755
12-11-2020,8461
12-12-2020,7656
12-13-2020,5055
12-14-2020,6297
12-15-2020,5543
12-16-2020,5620
12-17-2020,8403
12-18-2020,5274
12-19-2020,6741
12-20-2020,8431
12-21-2020,7872
12-22-2020,6784
12-23-2020,5648
12-24-2020,5214
12-25-2020,6567
12-26-2020,6287
12-27-2020,7373
12-28-2020,5540
12-29-2020,8179
12-30-2020,6915
12-31-2020,5700
01-01-2021,6652
01-02-2021,5659
01-03-2021,6895
01-04-2021,5851
01-05-2021,7771
01-06-2021,6547
01-07-2021,7568
01-08-2021,5867
01-09-2021,6585
01-10-2021,8140
01-11-2021,6530
01-12-2021,7472
01-13-2021,5520
01-14-2021,7814
01-15-2021,7388
01-16-2021,5809
01-17-2021,6162
01-18-2021,6115
01-19-2021,8473
01-20-2021,5567
01-21-2021,5480
01-22-2021,6124
01-23-2021,7966
01-24-2021,7371
01-25-2021,6726
01-26-2021,6650
01-27-2021,5350
01-28-2021,6704
01-29-2021,5922
01-30-2021,7817
01-31-2021,5732
02-01-2021,8303
02-02-2021,7121
02-03-2021,6199
02-04-2021,7400
02-05-2021,6570
02-06-2021,8296
02-07-2021,8208
02-08-2021,6126
02-09-2021,6332
02-10-2021,5546
02-11-2021,7291
02-12-2021,6456
02-13-2021,8063
02-14-2021,7982
02-15-2021,7312
02-16-2021,7567
02-17-2021,8277
02-18-2021,6672
02-19-2021,7246
02-20-2021,7087
02-21-2021,7987
02-22-2021,5726
02-23-2021,8286
02-24-2021,6156
02-25-2021,6716
02-26-2021,5909
02-27-2021,5966
02-28-2021,6263
