date,weight
02-01-2020,8972
02-02-2020,10806
02-03-2020,7911
02-04-2020,11536
02-05-2020,7022
02-06-2020,11487
02-07-2020,8015
02-08-2020,7771
02-09-2020,9978
02-10-2020,8728
02-11-2020,7766
02-12-2020,9751
02-13-2020,10516
02-14-2020,10198
02-15-2020,11780
02-16-2020,7632
02-17-2020,8092
02-18-2020,10909
02-19-2020,9809
02-20-2020,9944
02-21-2020,9697
02-22-2020,10211
02-23-2020,8402
02-24-2020,8468
02-25-2020,10703
02-26-2020,11563
02-27-2020,8232
02-28-2020,10336
02-29-2020,8631
03-01-2020,7552
03-02-2020,7510
03-03-2020,9512
03-04-2020,9183
03-05-2020,8611
03-06-2020,8385
03-07-2020,10854
03-08-2020,8034
03-09-2020,7875
03-10-2020,8091
03-11-2020,11861
03-12-2020,7669
03-13-2020,11750
03-14-2020,9128
03-15-2020,11387
03-16-2020,9651
03-17-2020,9031
03-18-2020,9964
03-19-2020,11888
03-20-2020,7079
03-21-2020,7363
03-22-2020,10985
03-23-2020,11251
03-24-2020,8927
03-25-2020,8714
03-26-2020,9404
03-27-2020,7971
03-28-2020,11938
03-29-2020,10020
03-30-2020,8566
03-31-2020,11212
04-01-2020,10798
04-02-2020,11022
04-03-2020,11420
04-04-2020,9074
04-05-2020,10355
04-06-2020,9975
04-07-2020,8761
04-08-2020,9186
04-09-2020,9251
04-10-2020,10008
04-11-2020,10941
04-12-2020,10175
04-13-2020,10840
04-14-2020,7030
04-15-2020,7983
04-16-2020,10281
04-17-2020,10116
04-18-2020,11286
04-19-2020,11934
04-20-2020,7603
04-21-2020,11519
04-22-2020,7235
04-23-2020,11562
04-24-2020,8124
04-25-2020,8353
04-26-2020,8348
04-27-2020,7649
04-28-2020,10953
04-29-2020,8699
04-30-2020,7908
05-01-2020,9084
05-02-2020,8633
05-03-2020,10105
05-04-2020,11382
05-05-2020,8314
05-06-2020,7281
05-07-2020,11797
05-08-2020,7652
05-09-2020,8784
05-10-2020,11015
05-11-2020,11272
05-12-2020,7840
05-13-2020,8923
05-14-2020,8537
05-15-2020,9931
05-16-2020,9325
05-17-2020,8103
05-18-2020,10079
05-19-2020,8183
05-20-2020,9239
05-21-2020,9739
05-22-2020,8996
05-23-2020,7544
05-24-2020,8619
05-25-2020,10192
05-26-2020,7306
05-27-2020,11617
05-28-2020,7815
05-29-2020,9092
05-30-2020,10237
05-31-2020,8802
06-01-2020,11592
06-02-2020,10681
06-03-2020,7960
06-04-2020,7260
06-05-2020,10031
06-06-2020,10929
06-07-2020,9730
06-08-2020,8787
