date,weight
02-01-2020,2892
02-02-2020,2143
02-03-2020,2199
02-04-2020,2510
02-05-2020,2702
02-06-2020,2273
02-07-2020,1977
02-08-2020,2540
02-09-2020,3044
02-10-2020,2496
02-11-2020,3420
02-12-2020,2555
02-13-2020,2863
02-14-2020,2223
02-15-2020,2798
02-16-2020,3274
02-17-2020,2666
02-18-2020,3349
02-19-2020,2138
02-20-2020,2804
02-21-2020,3421
02-22-2020,2115
02-23-2020,2252
02-24-2020,3434
02-25-2020,2563
02-26-2020,2703
02-27-2020,2034
02-28-2020,2412
02-29-2020,2010
03-01-2020,3404
03-02-2020,2991
03-03-2020,1943
03-04-2020,2990
03-05-2020,2906
03-06-2020,2861
03-07-2020,3269
03-08-2020,3143
03-09-2020,2058
03-10-2020,2711
03-11-2020,1981
03-12-2020,3054
03-13-2020,2927
03-14-2020,2903
03-15-2020,2755
03-16-2020,2267
03-17-2020,2169
03-18-2020,2129
03-19-2020,3444
03-20-2020,2469
03-21-2020,3208
03-22-2020,3202
03-23-2020,2593
03-24-2020,2613
03-25-2020,2628
03-26-2020,1920
03-27-2020,2958
03-28-2020,1858
03-29-2020,2949
03-30-2020,2337
03-31-2020,1900
04-01-2020,2595
04-02-2020,2787
04-03-2020,3133
04-04-2020,3243
04-05-2020,2732
04-06-2020,3279
04-07-2020,2274
04-08-2020,2752
04-09-2020,2779
04-10-2020,2694
04-11-2020,3128
04-12-2020,3355
04-13-2020,1982
04-14-2020,3086
04-15-2020,2631
04-16-2020,2620
04-17-2020,3367
04-18-2020,3102
04-19-2020,2323
04-20-2020,2330
04-21-2020,2994
04-22-2020,2769
04-23-2020,2746
04-24-2020,1878
04-25-2020,2240
04-26-2020,3027
04-27-2020,3373
04-28-2020,1819
04-29-2020,2339
04-30-2020,2582
05-01-2020,2353
05-02-2020,3070
05-03-2020,2443
05-04-2020,2545
05-05-2020,2408
05-06-2020,2031
05-07-2020,2647
05-08-2020,2842
05-09-2020,1877
05-10-2020,2167
05-11-2020,3455
05-12-2020,2934
05-13-2020,2992
05-14-2020,2529
05-15-2020,2547
05-16-2020,2848
05-17-2020,2053
05-18-2020,3229
05-19-2020,3024
05-20-2020,3304
05-21-2020,3157
05-22-2020,2864
05-23-2020,2629
05-24-2020,2589
05-25-2020,2310
05-26-2020,1882
05-27-2020,2630
05-28-2020,3255
05-29-2020,2693
05-30-2020,3381
05-31-2020,3366
06-01-2020,2335
06-02-2020,2814
06-03-2020,2059
06-04-2020,2951
06-05-2020,2816
06-06-2020,1937
06-07-2020,3173
06-08-2020,2849
06-09-2020,2419
06-10-2020,2396
06-11-2020,2663
06-12-2020,2482
06-13-2020,2445
06-14-2020,3440
06-15-2020,2232
06-16-2020,2226
06-17-2020,3224
06-18-2020,3230
06-19-2020,2410
06-20-2020,2759
06-21-2020,2234
06-22-2020,2259
06-23-2020,3286
06-24-2020,3194
06-25-2020,3310
06-26-2020,2632
06-27-2020,2280
06-28-2020,2627
06-29-2020,3319
06-30-2020,2275
07-01-2020,3299
07-02-2020,3425
07-03-2020,3368
07-04-2020,3306
07-05-2020,2837
07-06-2020,3209
07-07-2020,2809
07-08-2020,3006
07-09-2020,2491
07-10-2020,1851
07-11-2020,3129
07-12-2020,2225
07-13-2020,2600
07-14-2020,3466
07-15-2020,1999
07-16-2020,3193
07-17-2020,2346
07-18-2020,3069
07-19-2020,3494
07-20-2020,1957
07-21-2020,3111
07-22-2020,3498
07-23-2020,3287
07-24-2020,2012
07-25-2020,3040
07-26-2020,2004
07-27-2020,3257
07-28-2020,3369
07-29-2020,3113
07-30-2020,3074
07-31-2020,3220
08-01-2020,2224
08-02-2020,2571
08-03-2020,2393
08-04-2020,2089
08-05-2020,2923
08-06-2020,2179
08-07-2020,2016
08-08-2020,3267
08-09-2020,2014
08-10-2020,2454
08-11-2020,3429
08-12-2020,2939
08-13-2020,2765
08-14-2020,2305
08-15-2020,3100
08-16-2020,1926
08-17-2020,3020
08-18-2020,2550
08-19-2020,3031
08-20-2020,1887
08-21-2020,1927
08-22-2020,2562
08-23-2020,2024
08-24-2020,2244
08-25-2020,2203
08-26-2020,2331
08-27-2020,2342
08-28-2020,3136
08-29-2020,3337
08-30-2020,2806
08-31-2020,2704
09-01-2020,3375
09-02-2020,2091
09-03-2020,1902
09-04-2020,3320
09-05-2020,2624
09-06-2020,2679
09-07-2020,2753
09-08-2020,1911
09-09-2020,2747
09-10-2020,2242
09-11-2020,2282
09-12-2020,2873
09-13-2020,2478
09-14-2020,2671
09-15-2020,3376
09-16-2020,3203
09-17-2020,3249
09-18-2020,3467
09-19-2020,3134
09-20-2020,1848
09-21-2020,2717
09-22-2020,2552
09-23-2020,2144
09-24-2020,2604
09-25-2020,2599
09-26-2020,2758
09-27-2020,1800
09-28-2020,3038
09-29-2020,2911
09-30-2020,2668
10-01-2020,1990
10-02-2020,3233
10-03-2020,2686
10-04-2020,3225
10-05-2020,2178
10-06-2020,3155
10-07-2020,3165
10-08-2020,2326
10-09-2020,2383
10-10-2020,2128
10-11-2020,2122
10-12-2020,3205
10-13-2020,2784
10-14-2020,2761
10-15-2020,2235
10-16-2020,2786
10-17-2020,3217
10-18-2020,3237
10-19-2020,3098
10-20-2020,2488
10-21-2020,2150
10-22-2020,3216
10-23-2020,2017
10-24-2020,2788
10-25-2020,2803
10-26-2020,3260
10-27-2020,3184
10-28-2020,2926
10-29-2020,1824
10-30-2020,2391
10-31-2020,1884
11-01-2020,2748
11-02-2020,2539
11-03-2020,2105
11-04-2020,3212
11-05-2020,2682
11-06-2020,2357
11-07-2020,1835
11-08-2020,2875
11-09-2020,3382
11-10-2020,3185
11-11-2020,1916
11-12-2020,2361
11-13-2020,3430
11-14-2020,2653
11-15-2020,2108
11-16-2020,2324
11-17-2020,3317
11-18-2020,3385
11-19-2020,2940
11-20-2020,2840
11-21-2020,1857
11-22-2020,2749
11-23-2020,3480
11-24-2020,3094
11-25-2020,2897
11-26-2020,2537
11-27-2020,2348
11-28-2020,2660
11-29-2020,3475
11-30-2020,2657
12-01-2020,1942
12-02-2020,2365
12-03-2020,3148
12-04-2020,2423
12-05-2020,2262
12-06-2020,2437
12-07-2020,2077
12-08-2020,3327
12-09-2020,2350
12-10-2020,3495
12-11-2020,2495
12-12-2020,3124
12-13-2020,2261
12-14-2020,2772
12-15-2020,3199
12-16-2020,3388
12-17-2020,2498
12-18-2020,1869
12-19-2020,2083
12-20-2020,3245
12-21-2020,2551
12-22-2020,2268
12-23-2020,3001
12-24-2020,2003
12-25-2020,3180
12-26-2020,2527
