date,weight
02-01-2020,10420
02-02-2020,10660
02-03-2020,10152
02-04-2020,11431
02-05-2020,12939
02-06-2020,12449
02-07-2020,12955
02-08-2020,12834
02-09-2020,9934
02-10-2020,10018
02-11-2020,12290
02-12-2020,9802
02-13-2020,11183
02-14-2020,11353
02-15-2020,11900
02-16-2020,12051
02-17-2020,9661
02-18-2020,10159
02-19-2020,12327
02-20-2020,11269
02-21-2020,12963
02-22-2020,10290
02-23-2020,12919
02-24-2020,12859
02-25-2020,11972
02-26-2020,12821
02-27-2020,11965
02-28-2020,10781
02-29-2020,10253
03-01-2020,9748
03-02-2020,11657
03-03-2020,10166
03-04-2020,12668
03-05-2020,12733
03-06-2020,12510
03-07-2020,10745
03-08-2020,12632
03-09-2020,9534
03-10-2020,9561
03-11-2020,11727
03-12-2020,9749
03-13-2020,12770
03-14-2020,9704
03-15-2020,10203
03-16-2020,10571
03-17-2020,9770
03-18-2020,12717
03-19-2020,10225
03-20-2020,9925
03-21-2020,9520
03-22-2020,11383
03-23-2020,9924
03-24-2020,11086
03-25-2020,10977
03-26-2020,12497
03-27-2020,10984
03-28-2020,12285
03-29-2020,12006
03-30-2020,12626
03-31-2020,12304
04-01-2020,10164
04-02-2020,11918
04-03-2020,12509
04-04-2020,11438
04-05-2020,12833
04-06-2020,10690
04-07-2020,10449
04-08-2020,11185
04-09-2020,9927
04-10-2020,10297
04-11-2020,9521
04-12-2020,11454
04-13-2020,11445
04-14-2020,10304
04-15-2020,12156
04-16-2020,10333
04-17-2020,11912
04-18-2020,12817
04-19-2020,10650
04-20-2020,9651
04-21-2020,12206
04-22-2020,12899
04-23-2020,11638
04-24-2020,9888
04-25-2020,10187
04-26-2020,10543
04-27-2020,11285
04-28-2020,11289
04-29-2020,12322
04-30-2020,10551
05-01-2020,11290
05-02-2020,10635
05-03-2020,12574
05-04-2020,10107
05-05-2020,11049
05-06-2020,9547
05-07-2020,10740
05-08-2020,9915
05-09-2020,12861
05-10-2020,9847
05-11-2020,10767
05-12-2020,12966
05-13-2020,12230
05-14-2020,10308
05-15-2020,12742
05-16-2020,9732
05-17-2020,10345
05-18-2020,11195
05-19-2020,12504
05-20-2020,9658
05-21-2020,9877
05-22-2020,11125
05-23-2020,11677
05-24-2020,10186
05-25-2020,12690
05-26-2020,12382
05-27-2020,12794
05-28-2020,12451
05-29-2020,11684
05-30-2020,10077
05-31-2020,11753
06-01-2020,12922
06-02-2020,12782
06-03-2020,10259
06-04-2020,11609
06-05-2020,10504
06-06-2020,11586
06-07-2020,10350
06-08-2020,12508
06-09-2020,10659
06-10-2020,10819
06-11-2020,12372
06-12-2020,12556
06-13-2020,12162
06-14-2020,11105
06-15-2020,11206
06-16-2020,10841
06-17-2020,12889
06-18-2020,10044
06-19-2020,12587
06-20-2020,12232
06-21-2020,12238
06-22-2020,11584
06-23-2020,12407
06-24-2020,10399
06-25-2020,11694
06-26-2020,9887
06-27-2020,9879
06-28-2020,10867
06-29-2020,10129
06-30-2020,12968
07-01-2020,11908
07-02-2020,12186
07-03-2020,9692
07-04-2020,11828
07-05-2020,9659
07-06-2020,10837
07-07-2020,10764
07-08-2020,10653
07-09-2020,10359
07-10-2020,11135
07-11-2020,12298
