date,weight
02-01-2020,8262
02-02-2020,7878
02-03-2020,9113
02-04-2020,7854
02-05-2020,8675
02-06-2020,8326
02-07-2020,7796
02-08-2020,11830
02-09-2020,8325
02-10-2020,8807
02-11-2020,8415
02-12-2020,9719
02-13-2020,10937
02-14-2020,7932
02-15-2020,9641
02-16-2020,7935
02-17-2020,10783
02-18-2020,10219
02-19-2020,9845
02-20-2020,10959
02-21-2020,8297
02-22-2020,8242
02-23-2020,10543
02-24-2020,8530
02-25-2020,9480
02-26-2020,9760
02-27-2020,7606
02-28-2020,7435
02-29-2020,10793
03-01-2020,9072
03-02-2020,11902
03-03-2020,11156
03-04-2020,8700
03-05-2020,7693
03-06-2020,8127
03-07-2020,8440
03-08-2020,11492
03-09-2020,7821
03-10-2020,10362
03-11-2020,10551
03-12-2020,11762
03-13-2020,10962
03-14-2020,10998
03-15-2020,8178
03-16-2020,11370
03-17-2020,8121
03-18-2020,8111
03-19-2020,8772
03-20-2020,11456
03-21-2020,7259
03-22-2020,9688
03-23-2020,9315
03-24-2020,9483
03-25-2020,8909
03-26-2020,11150
03-27-2020,7266
03-28-2020,7199
03-29-2020,11098
03-30-2020,10431
03-31-2020,8487
04-01-2020,10223
04-02-2020,9548
04-03-2020,10058
04-04-2020,8137
04-05-2020,8455
04-06-2020,7687
04-07-2020,8031
04-08-2020,9946
04-09-2020,8403
04-10-2020,9138
04-11-2020,7845
04-12-2020,11689
04-13-2020,8797
04-14-2020,7569
04-15-2020,7005
04-16-2020,10672
04-17-2020,9499
04-18-2020,11389
04-19-2020,9990
04-20-2020,9029
04-21-2020,8334
04-22-2020,9409
04-23-2020,7742
04-24-2020,10427
04-25-2020,7825
04-26-2020,9146
04-27-2020,10428
04-28-2020,9805
04-29-2020,9372
04-30-2020,11040
05-01-2020,9959
05-02-2020,9638
05-03-2020,9231
05-04-2020,11078
05-05-2020,10383
05-06-2020,7783
05-07-2020,10808
05-08-2020,7990
05-09-2020,8737
05-10-2020,11694
05-11-2020,11795
05-12-2020,9098
05-13-2020,8349
05-14-2020,10795
05-15-2020,11249
05-16-2020,10604
05-17-2020,7379
05-18-2020,11936
05-19-2020,7939
05-20-2020,11131
05-21-2020,9169
05-22-2020,7627
05-23-2020,7577
05-24-2020,9528
05-25-2020,7438
05-26-2020,9392
05-27-2020,7095
05-28-2020,8872
05-29-2020,10526
05-30-2020,9163
05-31-2020,9426
06-01-2020,11035
06-02-2020,8164
06-03-2020,11866
06-04-2020,9005
06-05-2020,8250
06-06-2020,10640
06-07-2020,10273
06-08-2020,8208
06-09-2020,8697
06-10-2020,7542
06-11-2020,9048
06-12-2020,10865
06-13-2020,11298
06-14-2020,10861
06-15-2020,11405
06-16-2020,7513
06-17-2020,11839
06-18-2020,10725
06-19-2020,10509
06-20-2020,8623
06-21-2020,10960
06-22-2020,8706
06-23-2020,9998
06-24-2020,9477
06-25-2020,8347
06-26-2020,7504
06-27-2020,11059
06-28-2020,10284
06-29-2020,10777
06-30-2020,10163
07-01-2020,11632
07-02-2020,7468
07-03-2020,9086
07-04-2020,10302
07-05-2020,8684
07-06-2020,8630
07-07-2020,8148
07-08-2020,8058
07-09-2020,9608
07-10-2020,11043
07-11-2020,11394
07-12-2020,10074
07-13-2020,9177
07-14-2020,7263
07-15-2020,9527
07-16-2020,8374
07-17-2020,8730
07-18-2020,10370
07-19-2020,11002
07-20-2020,7253
07-21-2020,10419
07-22-2020,10122
07-23-2020,11044
07-24-2020,9121
07-25-2020,8142
07-26-2020,10096
07-27-2020,8155
07-28-2020,7502
07-29-2020,8870
07-30-2020,11552
07-31-2020,8749
08-01-2020,11063
08-02-2020,9219
08-03-2020,9358
08-04-2020,8692
08-05-2020,9600
08-06-2020,7860
08-07-2020,10018
08-08-2020,9427
08-09-2020,8904
08-10-2020,9217
08-11-2020,11019
08-12-2020,9517
08-13-2020,11860
08-14-2020,9788
08-15-2020,7744
08-16-2020,9644
08-17-2020,8295
08-18-2020,11309
08-19-2020,10124
08-20-2020,7736
08-21-2020,9764
08-22-2020,10026
08-23-2020,9402
08-24-2020,11911
08-25-2020,10371
08-26-2020,11649
08-27-2020,10347
08-28-2020,7559
08-29-2020,8782
08-30-2020,9355
08-31-2020,9107
09-01-2020,8240
09-02-2020,10123
09-03-2020,10377
09-04-2020,9847
09-05-2020,11446
09-06-2020,9962
09-07-2020,9421
09-08-2020,7729
09-09-2020,10911
09-10-2020,9164
09-11-2020,8869
09-12-2020,8465
09-13-2020,9894
09-14-2020,8973
09-15-2020,8607
09-16-2020,7068
09-17-2020,11320
09-18-2020,7553
09-19-2020,9280
09-20-2020,8536
09-21-2020,8943
09-22-2020,7889
09-23-2020,9684
09-24-2020,9966
09-25-2020,8949
09-26-2020,11633
09-27-2020,11453
09-28-2020,11599
09-29-2020,8181
09-30-2020,11593
10-01-2020,8096
10-02-2020,10769
10-03-2020,10279
10-04-2020,10589
10-05-2020,7521
10-06-2020,9362
10-07-2020,11380
10-08-2020,11338
10-09-2020,9822
10-10-2020,8665
10-11-2020,11548
10-12-2020,9579
10-13-2020,10157
10-14-2020,7835
10-15-2020,10648
10-16-2020,11172
10-17-2020,11955
10-18-2020,9531
10-19-2020,8937
10-20-2020,9587
10-21-2020,9042
10-22-2020,10932
10-23-2020,8433
10-24-2020,8404
10-25-2020,8654
10-26-2020,8083
10-27-2020,8098
10-28-2020,7898
10-29-2020,7325
10-30-2020,8191
10-31-2020,10443
11-01-2020,10760
11-02-2020,11439
11-03-2020,11583
11-04-2020,11034
11-05-2020,10733
11-06-2020,11008
11-07-2020,7442
11-08-2020,7026
11-09-2020,7020
11-10-2020,11317
11-11-2020,8806
11-12-2020,10412
11-13-2020,8989
11-14-2020,10704
11-15-2020,10800
11-16-2020,9926
11-17-2020,11641
11-18-2020,10883
11-19-2020,9785
11-20-2020,9983
11-21-2020,9891
11-22-2020,10324
11-23-2020,11937
11-24-2020,8578
11-25-2020,10029
11-26-2020,11918
11-27-2020,11582
11-28-2020,8682
11-29-2020,7129
11-30-2020,7538
12-01-2020,8868
12-02-2020,8864
12-03-2020,8399
12-04-2020,11004
12-05-2020,11664
12-06-2020,11263
12-07-2020,7673
12-08-2020,11819
12-09-2020,9984
12-10-2020,8614
12-11-2020,7100
12-12-2020,11325
12-13-2020,11262
12-14-2020,9521
12-15-2020,7701
12-16-2020,8766
12-17-2020,11823
12-18-2020,7341
12-19-2020,11789
12-20-2020,7743
12-21-2020,7117
12-22-2020,9465
12-23-2020,8671
12-24-2020,9008
12-25-2020,10560
12-26-2020,10253
12-27-2020,11368
12-28-2020,7501
12-29-2020,8054
12-30-2020,11383
12-31-2020,7986
01-01-2021,9188
01-02-2021,8253
01-03-2021,8539
01-04-2021,10091
01-05-2021,11667
01-06-2021,11811
01-07-2021,8637
01-08-2021,11311
01-09-2021,10653
01-10-2021,10363
01-11-2021,11066
01-12-2021,7364
01-13-2021,9038
01-14-2021,11031
01-15-2021,9233
01-16-2021,7894
01-17-2021,9359
01-18-2021,7166
01-19-2021,10788
01-20-2021,10084
01-21-2021,10868
01-22-2021,10817
01-23-2021,8190
01-24-2021,11697
01-25-2021,7497
01-26-2021,9835
01-27-2021,9309
01-28-2021,11778
01-29-2021,8752
01-30-2021,9636
01-31-2021,8693
02-01-2021,10843
02-02-2021,10420
02-03-2021,10842
02-04-2021,9018
02-05-2021,8705
02-06-2021,7358
02-07-2021,7985
02-08-2021,8911
02-09-2021,9481
02-10-2021,8333
02-11-2021,9922
02-12-2021,7063
02-13-2021,10373
02-14-2021,7905
02-15-2021,11974
02-16-2021,8118
02-17-2021,8013
02-18-2021,8157
02-19-2021,7479
02-20-2021,8873
02-21-2021,9060
02-22-2021,11779
02-23-2021,9257
02-24-2021,8010
02-25-2021,7613
02-26-2021,7317
02-27-2021,11608
02-28-2021,10119
