date,weight
02-01-2020,2777
02-02-2020,2693
02-03-2020,3806
02-04-2020,4820
02-05-2020,4620
02-06-2020,4054
02-07-2020,3020
02-08-2020,2428
02-09-2020,3805
02-10-2020,4301
02-11-2020,3823
02-12-2020,2801
02-13-2020,2837
02-14-2020,4239
02-15-2020,4050
02-16-2020,2360
02-17-2020,2665
02-18-2020,2488
02-19-2020,3359
02-20-2020,3057
02-21-2020,2981
02-22-2020,4517
02-23-2020,2549
02-24-2020,2933
02-25-2020,3276
02-26-2020,3198
02-27-2020,3110
02-28-2020,3861
02-29-2020,4436
03-01-2020,3688
03-02-2020,2636
03-03-2020,2411
03-04-2020,2643
03-05-2020,2906
03-06-2020,3283
03-07-2020,4666
03-08-2020,3008
03-09-2020,3428
03-10-2020,2566
03-11-2020,2670
03-12-2020,3658
03-13-2020,4600
03-14-2020,3108
03-15-2020,3030
03-16-2020,4330
03-17-2020,3659
03-18-2020,4519
03-19-2020,2356
03-20-2020,2390
03-21-2020,4628
03-22-2020,4182
03-23-2020,4358
03-24-2020,4297
03-25-2020,2458
03-26-2020,2558
03-27-2020,3073
03-28-2020,4298
03-29-2020,3908
03-30-2020,3053
03-31-2020,3457
04-01-2020,4343
04-02-2020,3720
04-03-2020,4561
04-04-2020,4719
04-05-2020,4445
04-06-2020,3139
04-07-2020,3695
04-08-2020,2596
04-09-2020,2855
04-10-2020,3630
04-11-2020,2669
04-12-2020,3285
04-13-2020,2604
04-14-2020,2991
04-15-2020,3084
04-16-2020,4686
04-17-2020,3450
04-18-2020,4748
04-19-2020,3829
04-20-2020,3444
04-21-2020,4612
04-22-2020,4776
04-23-2020,4601
04-24-2020,3958
04-25-2020,4012
04-26-2020,3867
04-27-2020,4550
04-28-2020,3374
04-29-2020,3027
04-30-2020,3314
05-01-2020,4134
05-02-2020,2820
05-03-2020,4001
05-04-2020,3313
05-05-2020,2491
05-06-2020,2656
05-07-2020,4454
05-08-2020,4582
05-09-2020,2515
05-10-2020,2413
05-11-2020,4257
05-12-2020,3004
05-13-2020,3494
05-14-2020,3706
05-15-2020,4683
05-16-2020,2882
05-17-2020,3900
05-18-2020,4663
05-19-2020,2704
05-20-2020,4137
05-21-2020,3429
05-22-2020,4511
05-23-2020,3401
05-24-2020,4440
05-25-2020,4139
05-26-2020,2553
05-27-2020,2453
05-28-2020,3755
05-29-2020,2709
05-30-2020,3143
05-31-2020,4595
06-01-2020,2782
06-02-2020,4596
06-03-2020,3038
06-04-2020,3423
06-05-2020,4184
06-06-2020,3700
06-07-2020,4057
06-08-2020,3239
06-09-2020,2538
06-10-2020,4894
06-11-2020,4805
06-12-2020,2924
06-13-2020,3101
06-14-2020,3901
06-15-2020,3086
06-16-2020,2818
06-17-2020,3794
06-18-2020,4673
06-19-2020,3962
06-20-2020,4490
06-21-2020,4812
06-22-2020,4462
06-23-2020,2624
06-24-2020,4320
06-25-2020,3582
06-26-2020,2511
06-27-2020,2699
06-28-2020,3553
06-29-2020,3911
06-30-2020,4641
07-01-2020,4572
07-02-2020,2644
07-03-2020,4668
07-04-2020,3497
07-05-2020,4342
07-06-2020,3122
07-07-2020,2970
07-08-2020,3645
07-09-2020,4476
07-10-2020,3672
07-11-2020,3674
07-12-2020,2442
07-13-2020,3979
07-14-2020,3704
07-15-2020,4489
07-16-2020,4728
07-17-2020,2844
07-18-2020,4366
07-19-2020,2587
07-20-2020,2633
07-21-2020,4333
07-22-2020,4158
07-23-2020,3345
07-24-2020,4152
07-25-2020,3819
07-26-2020,3418
07-27-2020,3071
07-28-2020,2545
07-29-2020,4039
07-30-2020,4367
07-31-2020,3493
08-01-2020,4828
08-02-2020,3844
08-03-2020,3009
08-04-2020,3089
08-05-2020,3045
08-06-2020,4631
08-07-2020,4104
08-08-2020,4264
08-09-2020,4501
08-10-2020,2986
08-11-2020,2750
08-12-2020,4360
08-13-2020,3467
08-14-2020,3946
08-15-2020,3607
08-16-2020,3124
08-17-2020,3712
08-18-2020,2482
08-19-2020,4608
08-20-2020,2414
08-21-2020,2717
08-22-2020,2794
08-23-2020,4203
08-24-2020,2694
08-25-2020,2412
08-26-2020,3570
08-27-2020,2817
08-28-2020,2836
08-29-2020,4711
08-30-2020,4530
08-31-2020,3325
09-01-2020,4559
09-02-2020,3628
09-03-2020,2823
09-04-2020,2785
09-05-2020,3633
09-06-2020,3209
09-07-2020,2634
09-08-2020,4646
09-09-2020,3576
09-10-2020,2706
09-11-2020,4000
09-12-2020,4716
09-13-2020,3141
09-14-2020,2401
09-15-2020,2745
09-16-2020,3931
09-17-2020,4042
09-18-2020,2400
09-19-2020,2673
09-20-2020,3777
09-21-2020,4788
09-22-2020,3160
09-23-2020,3491
09-24-2020,4553
09-25-2020,4821
09-26-2020,4113
09-27-2020,3815
09-28-2020,2871
09-29-2020,3307
09-30-2020,2430
10-01-2020,3349
10-02-2020,3233
10-03-2020,2783
10-04-2020,4594
10-05-2020,3319
10-06-2020,4005
10-07-2020,4204
10-08-2020,4394
10-09-2020,2901
10-10-2020,3369
10-11-2020,4438
10-12-2020,3618
10-13-2020,2853
10-14-2020,3378
10-15-2020,2947
10-16-2020,3347
10-17-2020,3262
10-18-2020,2842
10-19-2020,2793
10-20-2020,2809
10-21-2020,3615
10-22-2020,3516
10-23-2020,3653
10-24-2020,3812
10-25-2020,4187
10-26-2020,3661
10-27-2020,4492
10-28-2020,3667
10-29-2020,4543
10-30-2020,3281
10-31-2020,3289
11-01-2020,4849
11-02-2020,2718
11-03-2020,3870
11-04-2020,3550
11-05-2020,3787
11-06-2020,3146
11-07-2020,3409
11-08-2020,3486
11-09-2020,3692
11-10-2020,3395
11-11-2020,3948
11-12-2020,3995
11-13-2020,4244
11-14-2020,4013
11-15-2020,3343
11-16-2020,4759
11-17-2020,4796
11-18-2020,4629
11-19-2020,3585
11-20-2020,2394
11-21-2020,3903
11-22-2020,4021
11-23-2020,3047
11-24-2020,3348
11-25-2020,4448
11-26-2020,3986
11-27-2020,2524
11-28-2020,4390
11-29-2020,4611
11-30-2020,2771
12-01-2020,2767
12-02-2020,4205
12-03-2020,4246
12-04-2020,3117
12-05-2020,2404
12-06-2020,4558
12-07-2020,2576
12-08-2020,4439
12-09-2020,3657
12-10-2020,4055
12-11-2020,3222
12-12-2020,4072
12-13-2020,3116
12-14-2020,3705
12-15-2020,2722
12-16-2020,4133
12-17-2020,4783
12-18-2020,3302
12-19-2020,4720
12-20-2020,4056
12-21-2020,2525
12-22-2020,2654
12-23-2020,2716
12-24-2020,4163
12-25-2020,4267
12-26-2020,2351
12-27-2020,4862
12-28-2020,3371
12-29-2020,4143
12-30-2020,3037
12-31-2020,3221
01-01-2021,2752
01-02-2021,3058
01-03-2021,4536
01-04-2021,3331
01-05-2021,3158
01-06-2021,2824
01-07-2021,3036
01-08-2021,3652
01-09-2021,4800
01-10-2021,3930
01-11-2021,2578
01-12-2021,2506
01-13-2021,3918
01-14-2021,3479
01-15-2021,4447
01-16-2021,3927
01-17-2021,4010
01-18-2021,3111
01-19-2021,4589
01-20-2021,2435
01-21-2021,2386
01-22-2021,4624
01-23-2021,4102
01-24-2021,2932
01-25-2021,4698
01-26-2021,4478
01-27-2021,4280
01-28-2021,3320
01-29-2021,3078
01-30-2021,3267
01-31-2021,4544
02-01-2021,2755
02-02-2021,3935
02-03-2021,4291
02-04-2021,4500
02-05-2021,4421
02-06-2021,3410
02-07-2021,4708
02-08-2021,3035
02-09-2021,3164
02-10-2021,2800
02-11-2021,4089
02-12-2021,2702
02-13-2021,3529
02-14-2021,3261
02-15-2021,3789
02-16-2021,3984
02-17-2021,4289
02-18-2021,2471
02-19-2021,3795
02-20-2021,3271
02-21-2021,4468
02-22-2021,2904
02-23-2021,2528
02-24-2021,2350
02-25-2021,3228
02-26-2021,4464
02-27-2021,3133
02-28-2021,2833
